product_id,detected_at_utc,detected_at,detection_price,entry_price,target_price,stop_price,outcome,minutes_to_outcome,pnl_pct_after_fees,mfe_pct,mae_pct,rsi,macd_hist,source_file,notes
SKL-USD,2025-08-31 00:25:02+00:00,1756599902,0.0318,0.0318636,0.03345678,0.030907691999999997,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
CRO-USD,2025-08-31 00:27:00+00:00,1756600020,0.3123,0.3129246,0.32857083000000004,0.30353686199999996,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
PYTH-USD,2025-08-31 00:28:01+00:00,1756600081,0.193,0.193386,0.20305530000000002,0.18758442,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
KEYCAT-USD,2025-08-31 00:31:01+00:00,1756600261,0.005283,0.005293566,0.005558244300000001,0.00513475902,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
TOWNS-USD,2025-08-31 00:33:00+00:00,1756600380,0.02714,0.02719428,0.028553994000000003,0.026378451600000002,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
XYO-USD,2025-08-31 00:34:37+00:00,1756600477,0.00977,0.00978954,0.010279017,0.009495853799999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
PYTH-USD,2025-08-31 00:35:00+00:00,1756600500,0.1956,0.1959912,0.20579076000000002,0.190111464,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-31 00:36:02+00:00,1756600562,0.0829,0.0830658,0.08721909,0.08057382599999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
PYTH-USD,2025-08-31 00:46:01+00:00,1756601161,0.1965,0.196893,0.20673765000000002,0.19098621000000002,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
NMR-USD,2025-08-31 00:47:03+00:00,1756601223,15.63,15.66126,16.444323,15.1914222,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SXT-USD,2025-08-31 00:47:06+00:00,1756601226,0.0744,0.0745488,0.07827624,0.07231233599999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-31 00:50:13+00:00,1756601413,0.08572,0.08589144,0.09018601200000001,0.08331469679999999,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
MNDE-USD,2025-08-31 00:51:00+00:00,1756601460,0.13769,0.13796538,0.144863649,0.1338264186,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SAPIEN-USD,2025-08-31 00:51:05+00:00,1756601465,0.1603,0.1606206,0.16865163,0.155801982,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
